text,label
dördrəqəmli,dördrəqəmli
danışaram,danışaram
şalvar,şalvar
siyahıdan,siyahıdan
deyirler,deyirlər
desə,desə
oxuyarkən,oxuyarkən
böyümüşük,böyümüşük
Bacısının,bacısının
davranmağini,davranmağını
hallar,hallar
Bakda,Bakıda
varlıqdı,varlıqdır
qoyursunuz,qoyursunuz
tersine,tərsinə
itirilmiş,itirilmiş
qatığa,qatığa
ən,ən
Hərçənd,hərçənd
edr,edir
tapdın,tapdın
neyse,nəysə
İstəyirəm,istəyirəm
Dələduzluq,dələduzluq
fikirlərinizə,fikirlərinizə
keçmişdi,keçmişdir
BELƏ,belə
doluyur,doluyur
razılaşdı,razılaşdı
sütunu,sütunu
İmislidendir,İmişlidəndir
LAZIMDIR,lazımdır
durduğunu,durduğunu
imiş,imiş
tarixin,tarixin
İngilis,İngilis
vizam,vizam
qadinlar,qadınlar
Quliyev,Quliyev
Africa,Afrika
verilir,verilir
mubahise,mübahisə
istemir,istəmir
yere,yerə
əlaqələdi,əlaqəlidir
etmir,etmir
Fikrimcə,fikrimcə
Mütləqdir,mütləqdir
umudlerini,ümidlərini
ölkə,ölkə
ehtiyyat,ehtiyyat
gəlinlərdə,gəlinlərdə
çıxırki,çıxır ki
köçdük,köçdük
Evvelceden,əvvəlcədən
barışdırmaq,barışdırmaq
ureyimde,ürəyimdə
mənaslnda,mənasında
Əşyaları,əşyaları
içine,içinə
versiyasından,versiyasından
keçirmək,keçirmək
ağir,ağır
sürücüyə,sürücüyə
çekirem,çəkirəm
açıldığına,açıldığına
evliyik,evliyik
depresiyaya,depresiyaya
bibim,bibim
sorusan,soruşan
verməliyik,verməliyik
bağışladim,bağışladım
aldanmasinlar,aldanmasınlar
Türkoğlu,Türk oğlu
Attestatim,Attestatım
Bəli,bəli
açiram,açıram
ölürlər,ölürlər
buraxaraq,buraxaraq
ediləcək,ediləcək
uzaqdadırsa,uzaqdadırsa
almayın,almayın
uşaqlari,uşaqları
deyilki,deyil ki
evlənir,evlənir
çıxmır,çıxmır
psixoterapeft,psixoterapevt
Bilirem,bilirəm
təmsil,təmsil
qazandığım,qazandığım
etdirdim,etdirdim
gözlederek,gözlədərək
avtobuslar,avtobuslar
istəmişdi,istəmişdir
radelerinde,radələrində
istəmir,istəmir
olmaması,olmaması
bildirməməyə,bildirməməyə
belədi,belədir
saatları,saatları
reklamini,reklamını
pisxalogiya,psixalogiya
hemise,həmişə
hazır,hazır
qebirsanlığda,qəbirsanlığda
Maşını,maşını
saqqalına,saqqalına
soyuq,soyuq
məsələlərdən,məsələlərdən
Çaresiz,çarəsiz
qışqırmağım,qışqırmağım
sıfır,sıfır
İşdə,işdə
dinləyənim,dinləyənim
yazdığı,yazdığı
çoxunuzun,çoxunuzun
eləmirəm,eləmirəm
danismayacam,danışmayacağam
cihazlarina,cihazlarına
mawinimi,maşınımı
onunkundan,onunkindən
yoldaşlarımla,yoldaşlarımla
mənasiz,mənasız
neyniyirsən,neyniyirsən
bitən,bitən
qayıtmışam,qayıtmışam
qus,quş
həyatındaki,həyatındaki
qarışıb,qarışıb
özümüz,özümüz
çalışmışam,çalışmışam
qadınlarında,qadınların da
dekabrda,dekabrda
Semed,Səməd
2il,2 il
Yoldasım,yoldaşım
peşman,peşman
ogludu,oğludur
üstünlük,üstünlük
tanıdan,tanıdan
başqadı,başqadır
etdirir,etdirir
baxacaq,baxacaq
Ali,Əli
yumsaltsin,yumşaltsın
şəhərində,şəhərində
Taniyin,tanıyın
çöldə,çöldə
nöktəsini,nöqtəsini
iwinnen,işinnən
dusdum,düşdüm
pıs,pis
kohne,köhnə
kənd,kənd
dəqiqənin,dəqiqənin
səhvləri,səhvləri
keçirdik,keçirdik
elektrik,elektrik
Bütün,bütün
kəndlərdə,kəndlərdə
vuracam,vuracağam
dedesine,dədəsinə
türk,türk
Aranizda,aranızda
ailə,ailə
İçimdən,içimdən
özümçün,özüm üçün
Deməzdim,deməzdim
qalib,qalib
razılaşırdı,razılaşırdı
bashqa,başqa
insanlarını,insanlarını
Silahlı,silahlı
hərbidə,hərbidə
Yoldaşım,yoldaşım
sürmeyin,sürməyin
Ev,ev
maklerlik,maklerlik
deyəsən,deyəsən
Serxan,Sərxan
Həsənovun,Həsənovun
düşməndir,düşməndir
tərəfləri,tərəfləri
Pünhan,Pünhan
cəlb,cəlb
rast,rast
şeyler,şeylər
qırırsan,qırırsan
birində,birində
güvənmişik,güvənmişik
yaşamamişam,yaşamamışam
etdirməyə,etdirməyə
Gic,gic
Axtarırıq,axtarırıq
danışırıq,danışırıq
buradan,buradan
önəmsəmir,önəmsəmir
Azerbaijan,Azərbaycan
heçnəyim,heçnəyim
Maştağa,Maştağa
7ay,7 ay
yaraşiqli,yaraşıqlı
cixanlarin,çıxanların
bölüşmək,bölüşmək
dinim,dinim
atar,atar
körpəmədə,körpəmədə
eminem,əminəm
Müştəriyə,müştəriyə
beyenmirem,bəyənmirəm
qovmur,qovmur
utancaqlıq,utancaqlıq
ELIZADE,Əlizadə
loqoped,loqoped
yarandı,yarandı
Rahat,rahat
suurlu,şüurlu
Özünüzə,özünüzə
balam,balam
sayda,sayda
açan,açan
oskure,öskürək
Mövzü,mövzü
qulluqcu,qulluqçu
Atasi,atası
soxur,soxur
Insaniq,insanıq
vaxtdı,vaxtdır
yayın,yayın
ziyan,ziyan
asdigin,asdığın
masinla,maşınla
Yüksək,yüksək
çekib,çəkib
ağrımaq,ağrımaq
Deyirlər,deyirlər
bilmerem,bilmərəm
paylaşardınız,paylaşardınız
vaxtdan,vaxtdan
olmayanda,olmayanda
müemmali,müəmmalı
wirketlerden,şirkətlərdən
sebrli,səbirli
sağollaşıb,sağollaşıb
qaldırmadı,qaldırmadı
Onsuzda,onsuz da
Musbet,müsbət
Qisaca,qısaca
köhnə,köhnə
Hacıyev,Hacıyev
simpatiyaları,simpatiyaları
Sizden,sizdən
Fecebook,Facebook
defeye,dəfəyə
Sadə,sadə
həftənin,həftənin
maşınlardır,maşınlardır
mexluqatlari,məxluqatları
eli,Əli
Ənvər,Ənvər
yaxşiyam,yaxşıyam
salonunda,salonunda
razılaşıb,razılaşıb
bezdirdim,bezdirdim
eliyirəm,eliyirəm
qovsam,qovsam
planlaşdirmaq,planlaşdırmaq
qismini,qismini
ozde,özdə
təbiki,təbiki
qaçaraq,qaçaraq
düşürmü,düşürmü
xristianliq,xristianliq
burun,burun
bitmədiyini,bitmədiyini
gunə,günə
bashladi,başladı
hecbir,heçbir
tutmaq,tutmaq
homoseksuallıq,homoseksuallıq
küllü,küllü
gəlirdi,gəlirdi
halında,halında
heqiqeten,həqiqətən
Aylardır,aylardır
kafelərə,kafelərə
içse,içsə
başlamamişdi,başlamamışdır
insanlarda,insanlarda
Xulase,xulasə
gulmeli,gülməli
ətrafımız,ətrafımız
dəyişirmiş,dəyişirmiş
versə,versə
Güclü,güclü
gələcəkdə,gələcəkdə
kimim,kimin
insanlarıq,insanlarıq
büyürüb,buyurub
telefonuna,telefonuna
alet,alət
qarşılaşmalıdır,qarşılaşmalıdır
xeyli,xeyli
belələri,belələri
həyacanlı,həyacanlı
qərarına,qərarına
ovladdi,ovladdır
yemir,yemir
hamının,hamının
qoydum,qoydum
içirlər,içirlər
əyilmişdi,əyilmişdi
istəmək,istəmək
edilməzdi,edilməzdi
ALDANMAQ,aldanmaq
qal,qal
işin,işin
nöqsanımı,nöqsanımı
boşluqdan,boşluqdan
bişirib,bişirib
olandan,olandan
pisem,pisəm
ölkələrində,ölkələrində
aileme,ailəmə
status,status
niyədir,niyədir
ziiyan,ziyan
ısıme,işimə
görür,görür
problemdə,probləm də
rastlaşan,rastlaşan
mənimkidə,mənimki də
səsli,səsli
filanin,filanın
söhbətə,söhbətə
kosmetoloqa,kosmetoloqa
Sevməsən,sevməsən
lazim,lazım
atamdan,atamdan
döyünsün,döyünsün
üzvlərini,üzvlərini
Muxtelif,müxtəlif
nişanlısı,nişanlısı
indi,indi
elede,elədə
Mətn,mətn
sevgini,sevgini
Getmir,getmir
-birinin,birinin
temın,təmin
icarəçini,icarəsini
xərcləsəm,xərcləsəm
boyutmuşuk,böyütmüşük
padyoma,padyoma
sonuncu,sonuncu
xaricde,xaricdə
görməkdir,görməkdir
zehmetime,zəhmətimə
Svetaforun,svetaforun
yerlərində,yerlərin də
geleceyim,gələcəyim
salam,salam
itin,itin
Baxın,baxın
proqqramda,proqramda
əri,əri
belece,beləcə
eskiz,eskiz
derd,dərd
KİTAB,kitab
onsuzda,onsuz da
vaxtlar,vaxtlar
gəzməklər,gəzməklər
aləmində,aləmində
sevgililəri,sevgililəri
iyrənirdim,iyrənirdim
Tez,tez
deyisilmelidi,dəyişilməlidir
Hazirda,hazırda
dövrlər,dövrlər
maraqlandıran,maraqlandıran
gostererdiniz,göstərərdiniz
sürmüşəm,sürmüşəm
oğurlamışam,oğurlamışam
Evlərində,evlərin də
yanaşması,yanaşması
həvəs,həvəs
nişanli,nişanlı
gondersin,göndərsin
desin,desin
taksilerden,taksilərdən
Vaxt,vaxt
yaşayın,yaşayın
dələduzla,dələduzla
bölgəsinin,bölgəsinin
Semtyabr,sentyabr
vaxtaşırı,vaxt aşırı
mövzularda,mövzular da
təşəklürlər,təşəkkürlər
problemimə,problemimə
heyatda,heyat da
alim,alim
necədə,neçədə
qapisini,qapısını
həyata,həyata
bağlayir,bağlayır
nəysə,nəysə
ehtiyac,ehtiyac
ugradim,uğradım
toyumdu,toyumdu
ishler,işlər
En,ən
eşiyi,eşiyi
sesler,səslər
baqişlayir,bağışlayır
kankret,kankret
müddətdə,müddətdə
xanımın,xanımın
bilməzlər,bilməzlər
bacaran,bacaran
təhsilsizəm,təhsilsizəm
Yox,yox
yaşayırdım,yaşayırdım
besh,beş
Sizi,sizi
sevgili,sevgili
gözucu,göz ucu
vasitəsi,vasitəsi
psixologa,psixologiya
gedirem,gedirəm
kamersiya,kommersiya
dəm,dəm
Öncə,öncə
EHTİYATLI,ehtiyatlı
qurun,qurun
işsizlikdən,işsizlikdən
başqa,başqa
coxdu,çoxdur
Peyğəmbər,peyğəmbər
zövqüm,zövqüm
yuxuya,yuxuya
notarial,notarial
İçimdeki,içimdəki
seviyye,səviyyə
ağaclar,ağaclar
taksiyle,taksi ilə
eziyet,əziyyət
size,sizə
hamiynan,hamıyla
uyğunu,uyğunu
inamsiz,inamsız
cola,kola
Butun,bütün
tələbi,tələbi
çağından,çağından
şimşek,şimşək
maraqçun,maraq üçün
geyinir,geyinir
kreditdir,kreditdir
etme,etmə
Bacim,bacım
yaxınımızı,yaxınımızı
xahiş,xahiş
depressivdir,depressivdir
sahibininde,sahibinin de
exlaqimi,əxlaqımı
bunların,bunların
mudurumun,müdürümün
görəsiniz,görəsiniz
Qinamayin,qınamayın
baki,Baki
Qiz,qız
hata,xəta
mawin,maşın
tərbiyədən,tərbiyədən
məhf,məhv
olurdu,olurdu
görmədi,görmədi
kənar,kənar
bacarmıram,bacarmıram
ağrılara,ağrılara
evlənmək,evlənmək
uzaqlaşıram,uzaqlaşıram
baqlanir,bağlanır
maaşını,maaşını
ETSİN,etsin
şexs,şəxs
neçiyə,neçəyə
brazilyalı,brazilyalı
Axi,axı
məsləhətinə,məsləhətinə
yolu,yolu
mübahisəsi,mübahisəsi
hesabivızda,hesabınızda
gelsinler,gəlsinlər
pus,pis
əsəbini,əsəbini
