,text,label,prediction,distance,org
40388,lazimdirsa,lazımdırsa,lazımdırsa,0.0,2.0
14046,Kimlə,kimlə,kimlə,0.0,1.0
1197,başqasıdır,başqasıdır,başqasıdır,0.0,0.0
24392,Kuzey,Kuzey,Kuzey,0.0,0.0
5055,xeyirlisini,xeyirlisini,xeyirlisini,0.0,0.0
12983,Görməmişəm,görməmişəm,görməmişəm,0.0,1.0
33779,yoxuydun,yoxuydun,yoxudun,1.0,0.0
42597,hech,heç,heç,0.0,2.0
19453,verəcey,verəcək,verəcək,0.0,2.0
5005,Cemi,cəmi,cəmi,0.0,2.0
24314,Gondermek,göndərmək,göndərmək,0.0,4.0
3143,coxlu,çoxlu,çoxlu,0.0,1.0
20397,tutulmayib,tutulmayıb,tutulmayıb,0.0,1.0
42364,gelmishdiler,gəlmişdilər,gəlmişdilər,0.0,4.0
23703,Mehsulun,məhsulun,məhsulun,0.0,2.0
34860,qarışmasın,qarışmasın,qarışmasın,0.0,0.0
42341,kimdisə,kimdisə,kimdisə,0.0,0.0
16146,funksiyaları-nın,funksiyalarının,funksiyaları-nın,1.0,1.0
36718,AZER,Azər,AZER,3.0,3.0
30067,yararlı,yararlı,yararlı,0.0,0.0
13215,üçündə,üçün də,üçün də,0.0,1.0
6531,uşaqdı,uşaqdır,uşaqdır,0.0,1.0
31416,etməsidir,etməsidir,etməsidir,0.0,0.0
15800,məcburidir,məcburidir,məcburidir,0.0,0.0
41788,goturdu,götürdü,götürdü,0.0,3.0
6404,cemiyyet,cəmiyyət,cəmiyyət,0.0,2.0
7251,paylasiram,paylaşıram,paylaşıram,0.0,2.0
5924,asagi,aşağı,asağı,1.0,3.0
40247,Gəlir,gəlir,gəlir,0.0,1.0
14598,yayinlari,yayınları,yayınları,0.0,2.0
3205,göndərmişəm,göndərmişəm,göndərmişəm,0.0,0.0
32527,hemishe,həmişə,həmişə,0.0,4.0
14866,azadolmada,azadolmada,azadolmada,0.0,0.0
7592,editləyin,editləyin,editləyin,0.0,0.0
41472,eləməkdən,eləməkdən,eləməkdən,0.0,0.0
8423,cetindir,çətindir,çətindir,0.0,2.0
17484,CMİNİK,minik,CMİNİK,6.0,6.0
27221,blokladilar,blokladılar,blokladilar,1.0,1.0
13485,Riyaziyyat,riyaziyyat,riyaziyyat,0.0,1.0
43663,Deməyin,deməyin,deməyin,0.0,1.0
26072,detallar,detallar,detallar,0.0,0.0
43404,18000-20000,18000-20000,18000-20000,0.0,0.0
6679,orqaninda,orqanında,orqanında,0.0,1.0
12342,Yəginki,yəgin ki,Yəginki,2.0,2.0
32868,Istəyinizi,istəyinizi,istəyinizi,0.0,1.0
42473,cazibedar,cazibədar,cazibedar,1.0,1.0
22439,xercinin,xərcinin,xercinin,1.0,1.0
40449,Hədəfi,hədəfi,hədəfi,0.0,1.0
2045,gelirim,gəlirim,gəlirim,0.0,1.0
21691,instansiyası,instansiyası,instansiyası,0.0,0.0
26492,Özümçün,özüm üçün,özüm üçün,0.0,3.0
9956,Qizam,qızam,qızam,0.0,2.0
13135,qederde,qədər də,qədər də,0.0,4.0
13793,axtariw,axtarış,axtarış,0.0,2.0
14572,atılma,atılma,atılma,0.0,0.0
43934,gezir,gəzir,gəzir,0.0,1.0
23082,goruntu,görüntü,görüntü,0.0,3.0
18395,nezerse,nəzərdə,nəzərsə,1.0,4.0
12160,yığdım,yığdım,yığdım,0.0,0.0
27490,əzabdı,əzabdır,əzabdır,0.0,1.0
31575,bılərəm,bilərəm,bilərəm,0.0,1.0
5861,Özləri,özləri,özləri,0.0,1.0
2195,məclisində,məclisində,məclisində,0.0,0.0
22131,qoroq,qoruq,qoroq,1.0,1.0
11354,Bəhanələrə,bəhanələrə,Bəhanələrə,1.0,1.0
33753,əfsanə,əfsanə,əfsanə,0.0,0.0
43471,Diqqətinizə,diqqətinizə,diqqətinizə,0.0,1.0
20548,Aktivin,aktivin,Aktivin,1.0,1.0
31593,xətdə,xət də,xətdə,1.0,1.0
8695,atarsiniz,atarsınız,atarsınız,0.0,2.0
33536,bədiidi,bədiidir,bədiidi,1.0,1.0
42745,yuxumda,yuxumda,yuxumda,0.0,0.0
33324,təsriflənən,təsriflənən,təsriflənən,0.0,0.0
28393,təbriki,təbriki,təbriki,0.0,0.0
34947,KOMEK,kömək,kömək,0.0,5.0
22542,Nəisədə,nə isə də,Nəisədə,3.0,3.0
14867,Adımı,adımı,adımı,0.0,1.0
3835,vereqin,vərəqin,vərəqin,0.0,2.0
32337,Aysun,Aysun,Aysun,0.0,0.0
43643,deyilsen,deyilsən,deyilsən,0.0,1.0
3433,paylaşib,paylaşıb,paylaşıb,0.0,1.0
43445,məsulliyyətə,məsulliyyətə,məsulliyyətə,0.0,0.0
14706,ədəbyat,ədəbiyyat,ədəbiyyat,0.0,2.0
31984,Üzürlü,üzürlü,Üzürlü,1.0,1.0
5998,kisilerden,kişilərdən,kisilerden,3.0,3.0
29665,maraqlanırdım,maraqlanırdım,maraqlanırdım,0.0,0.0
37920,cavablandırdığınız,cavablandırdığınız,cavablandırdığınız,0.0,0.0
2877,qaçdım,qaçdım,qaçdım,0.0,0.0
2685,edin,edin,edin,0.0,0.0
1117,hansidir,hansıdır,hansıdır,0.0,2.0
42905,gətirmək,gətirmək,gətirmək,0.0,0.0
32664,erzinde,ərzində,ərzində,0.0,2.0
1212,1985-ci,1985-ci,1985-ci,0.0,0.0
41836,Bildiyimə,bildiyimə,bildiyimə,0.0,1.0
29900,dəyişə,dəyişə,dəyişə,0.0,0.0
32631,isleyirik,işləyirik,işləyirik,0.0,2.0
36162,fasitesi,fasiləsi,fasitəsi,1.0,2.0
42134,deyishmekdir,dəyişməkdir,deyishmekdir,4.0,4.0
29921,hədələyiblər,hədələyiblər,hədələyiblər,0.0,0.0
33503,muzakireleri,müzakirələri,müzakirələri,0.0,3.0
20860,zolaqlar,zolaqlar,zolaqlar,0.0,0.0
37740,Amerkanka,Amerikanka,Amerikanka,0.0,1.0
835,seven,sevən,sevən,0.0,1.0
43394,hönkür,hönkür,hönkür,0.0,0.0
4114,Beynəxalq,beynəxalq,beynəxlaq,2.0,1.0
20138,ağlayaraq,ağlayaraq,ağlayaraq,0.0,0.0
819,maraqlanırdı,maraqlanırdı,maraqlanırdı,0.0,0.0
20015,binalar,binalar,binalar,0.0,0.0
33806,kefi,kefi,kefi,0.0,0.0
22110,Binalar,binalar,binalar,0.0,1.0
39015,Sabitdə,Sabit də,sabitdə,2.0,1.0
13351,videodakı,videodakı,videodakı,0.0,0.0
33115,sinagidir,sınağıdır,sınağıdır,0.0,4.0
15153,vaxlar,vaxtlar,vaxlar,1.0,1.0
419,bacaran,bacaran,bacaran,0.0,0.0
41650,Mayil,Mayıl,Mayil,1.0,1.0
32517,fason,fason,fason,0.0,0.0
31873,etmey,etmək,etmək,0.0,2.0
25338,inci,inci,inci,0.0,0.0
43634,kasibin,kasıbın,kasibin,2.0,2.0
40107,götürə,götürə,götürə,0.0,0.0
1145,yaxinlarda,yaxınlarda,yaxınlarda,0.0,1.0
21486,icarədən,icarədən,icarədən,0.0,0.0
41568,heyatini,həyatını,həyatını,0.0,3.0
2093,xəstələndirən,xəstələndirən,xəstələndirən,0.0,0.0
9359,dəyişmə,dəyişmə,dəyişmə,0.0,0.0
25610,axıııııııııı,axı,axı,0.0,9.0
14799,Amam,amma,Amam,3.0,3.0
36951,avtomagda,avtomatda,avtomagda,1.0,1.0
18116,Səhərin,səhərin,səhərin,0.0,1.0
36125,qadina,qadına,qadına,0.0,1.0
21550,qurtardıqdan,qurtardıqdan,qurtardıqdan,0.0,0.0
12964,tabesiz,tabesiz,tabesiz,0.0,0.0
38214,düşen,düşən,düşən,0.0,1.0
22963,darevi,dairəvi,darevi,2.0,2.0
39663,Adin,adın,adın,0.0,2.0
3259,Mercedec,Mercedes,Mercedec,1.0,1.0
17483,dərslərdən,dərslərdən,dərslərdən,0.0,0.0
29811,80-den,80-dən,80-dən,0.0,1.0
10664,yumuşdular,yumuşdular,yumuşdular,0.0,0.0
30329,keçmişəm,keçmişəm,keçmişəm,0.0,0.0
34029,tarixi,tarixi,tarixi,0.0,0.0
20907,dayanacaqı,dayanacağı,dayanacaqı,1.0,1.0
21526,tramv,tramvay,tramv,2.0,2.0
30164,pəncərə,pəncərə,pəncərə,0.0,0.0
23910,Genceden,Gəncədən,Gəncədən,0.0,3.0
25443,verdikcə,verdikcə,verdikcə,0.0,0.0
25230,biodan,biodan,biodan,0.0,0.0
28555,milsiz,milsiz,milsiz,0.0,0.0
40948,qrup-,qrup,qrup,0.0,1.0
21561,nezeriden,nəzəridən,nəzərində,2.0,3.0
4230,oxuyaq,oxuyaq,oxuyaq,0.0,0.0
4282,vurğu,vurğu,vurğu,0.0,0.0
40022,İDMAN,idman,İDMAN,5.0,5.0
12456,deyərdinizdə,deyərdinizdə,deyərdinizdə,0.0,0.0
42394,Aycan,aycan,Aycan,1.0,1.0
35874,edilən,edilən,edilən,0.0,0.0
23607,qatın,qatın,qatın,0.0,0.0
39720,Hardansa,hardansa,hardansa,0.0,1.0
2874,qaytaracam,qaytaracam,qaytaracam,0.0,0.0
13837,pdf'in,pdf'in,pdf'in,0.0,0.0
26828,heçnədən,heçnədən,heçnədən,0.0,0.0
30833,sevdiyini,sevdiyini,sevdiyini,0.0,0.0
25634,Yaxud,yaxud,Yaxud,1.0,1.0
33927,boyuna,boyuna,boyuna,0.0,0.0
12291,Üçüncü,üçüncü,üçüncü,0.0,1.0
26979,deməsi,deməsi,deməsi,0.0,0.0
32792,qoparma,qoparma,qoparma,0.0,0.0
40062,dilnden,dilindən,dilnden,2.0,2.0
38095,banlandı,banlandı,banlandı,0.0,0.0
2908,bishanmagina,boşanmağına,bishanmagina,5.0,5.0
1899,durumdan,durumdan,durumdan,0.0,0.0
44238,oyrenib,öyrənib,öyrənib,0.0,2.0
10979,sənədləri,sənədləri,sənədləri,0.0,0.0
1630,ayliq,aylıq,aylıq,0.0,1.0
33843,oxuyrusuz,oxuyursuz,oxuyursunuz,2.0,2.0
13754,təəssüflənirəm,təəssüflənirəm,təəssüflənirəm,0.0,0.0
31755,Silirəm,silirəm,silirəm,0.0,1.0
34324,Sərvər,Sərvər,sərvər,1.0,0.0
3695,rehberlikden,rəhbərlikdən,rehberlikden,3.0,3.0
30734,əməliyat,əməliyyat,əməliyyat,0.0,1.0
44466,Psıxoloqa,psixoloqa,Psıxoloqa,2.0,2.0
28199,gördülər,gördülər,gördülər,0.0,0.0
28170,tənqid,təndiq,tənqid,2.0,2.0
23933,ödənildi,ödənildi,ödənildi,0.0,0.0
28267,olmusdu,olmuşdu,olmuşdur,1.0,1.0
26144,dinindən,dinindən,dinindən,0.0,0.0
8636,dusunursunuz,düşünürsünüz,düşünürsünüz,0.0,6.0
27166,görməmişliyidiki,görməmişliyidir ki,görməmişliyidiki,2.0,2.0
25115,balından,balından,balından,0.0,0.0
12878,almym,almıyım,almym,2.0,2.0
32138,tdk,tqdk,tdk,1.0,1.0
44525,qıyıb,qıyıb,qıyıb,0.0,0.0
22423,tekçe,təkcə,təkçə,1.0,3.0
27314,laga,lağa,laga,1.0,1.0
44323,rüsumu,rüsumu,rüsumu,0.0,0.0
37687,verər,verər,verər,0.0,0.0
24377,Ərizə,ərizə,ərizə,0.0,1.0
12242,yüklənir,yüklənir,yüklənir,0.0,0.0
20084,olubda,olub da,olubda,1.0,1.0
35826,işlədikcə,işlədikcə,işlədikcə,0.0,0.0
13801,Telegramda,teleqramda,telegramda,1.0,2.0
24672,[1290230754],[1290230754],[1290230754],0.0,0.0
41954,kişilərdən,kişilərdən,kişilərdən,0.0,0.0
18445,köməkləşə,köməkləşə,köməkləşə,0.0,0.0
11440,ureyimiz,ürəyimiz,ürəyimiz,0.0,2.0
21133,5-Təkərlərin,təkərlərin,5-Təkərlərin,3.0,3.0
7520,tapirsiz,tapırsınız,tapırsınız,0.0,4.0
36982,edirsiniz,edirsiniz,edirsiniz,0.0,0.0
16119,xettdi,xəttdir,xəttdir,0.0,2.0
14311,Təsdiq,təsdiq,Təsdiq,1.0,1.0
43166,olanlarından,olanlarından,olanlarından,0.0,0.0
27347,seçmisən,seçmisən,seçmisən,0.0,0.0
37871,başdan,başdan,başdan,0.0,0.0
753,popkornlarınızı,popkornlarınızı,popkornlarınızı,0.0,0.0
6722,çəkərəm,çəkərəm,çəkərəm,0.0,0.0
14693,olduye,oldu,olduye,2.0,2.0
21952,kepenek,kəpənək,kepenek,3.0,3.0
9571,yazmaram,yazmaram,yazmaram,0.0,0.0
34468,testt,test,testt,1.0,1.0
43478,sıxmaq,sıxmaq,sıxmaq,0.0,0.0
43332,kiçikden,kiçikdən,kiçikdən,0.0,1.0
9667,İyunun,iyunun,iyunun,0.0,1.0
11579,görüşənədək,görüşənədək,görüşənədək,0.0,0.0
22250,önərə,önərə,önərə,0.0,0.0
5910,yoxluğa,yoxluğa,yoxluğa,0.0,0.0
16373,gozlemedim,gözləmədim,gözləmədim,0.0,3.0
20026,Gozlerimizi,gözlərimizi,gözlərimizi,0.0,3.0
39222,2azn,2 azn,2 azn,0.0,1.0
40983,Kitabca,kitabça,kitabca,1.0,2.0
4425,güvənlə,güvənlə,güvənlə,0.0,0.0
40019,Mesajı,mesajı,mesajı,0.0,1.0
20216,evveler,əvvəllər,evveler,4.0,4.0
36195,usagimin,uşağımın,uşağımın,0.0,4.0
2224,zamanın,zamanın,zamanın,0.0,0.0
13195,Gülzar,Gülzar,Gülzar,0.0,0.0
1477,yoldasm,yoldaşım,yoldasm,2.0,2.0
12209,atacağım,atacağım,atacağım,0.0,0.0
15402,gözlenilir,gözlənilir,gözlənilir,0.0,1.0
10944,etmişdi,etmişdi,etmişdi,0.0,0.0
34877,varni,varmı,varni,2.0,2.0
19850,səbətindəki,səbətindəki,səbətindəki,0.0,0.0
40827,dəyişiklikdə,dəyişiklikdə,dəyişiklikdə,0.0,0.0
11879,dəyişmiyib,dəyişməyib,dəyişmiyib,1.0,1.0
28320,hissiyyatlı,hissiyyatlı,hissiyyatlı,0.0,0.0
25600,yazılandı,yazılandı,yazılandı,0.0,0.0
4513,2manat,2 manat,2 manat,0.0,1.0
27678,kartına,kartına,kartına,0.0,0.0
6715,keçir,keçir,keçir,0.0,0.0
32726,vaxtlari,vaxtları,vaxtları,0.0,1.0
36917,Aferinn,afərin,Aferinn,3.0,3.0
2234,evlidir,evlidir,evlidir,0.0,0.0
8841,olanlarla,olanlarla,olanlarla,0.0,0.0
10090,wekilleri,şəkilləri,şəkilləri,0.0,3.0
14297,baglanir,bağlanır,bağlanır,0.0,2.0
349,temın,təmin,temın,2.0,2.0
23357,tural,Tural,tural,1.0,1.0
29112,sevmirəm,sevmirəm,sevmirəm,0.0,0.0
38580,Ronaldo,Ronaldo,Ronaldo,0.0,0.0
17469,catmadiki,çatmadı ki,çatmadı ki,0.0,3.0
17198,senedlerde,sənədlərdə,sənədlərdə,0.0,4.0
35558,Şahanə,Şəhanə,Şahanə,1.0,1.0
6128,vurdum,vurdum,vurdum,0.0,0.0
32998,lazımdir,lazımdır,lazımdır,0.0,1.0
36742,aleykum,əleyküm,aleykum,2.0,2.0
22384,anormaldi,anormaldır,anormaldi,2.0,2.0
30333,icra,icra,icra,0.0,0.0
29953,evimi,evimi,evimi,0.0,0.0
10276,Funksiyanın,funksiyanın,funksiyanın,0.0,1.0
41234,yasi,yaşı,yasi,2.0,2.0
8590,kitabım,kitabım,kitabım,0.0,0.0
9875,paylaşmış,paylaşmış,paylaşmış,0.0,0.0
27518,gəldi,gəldi,gəldi,0.0,0.0
20051,mezuniyyet,məzuniyyət,məzuniyyət,0.0,2.0
19637,hərkətə,hərəkətə,hərkətə,1.0,1.0
33154,Necənci,neçənci,necənci,1.0,2.0
43388,nəsə,nəsə,nəsə,0.0,0.0
6152,teker,təkər,təkər,0.0,2.0
41096,Doğrudu,doğrudur,doğrudur,0.0,2.0
23875,3bal,3 bal,3bal,1.0,1.0
31312,April,aprel,aprıl,1.0,2.0
28462,gülən,gülən,gülən,0.0,0.0
9160,partlayış,partlayış,partlayış,0.0,0.0
41469,dishim,dişim,dişim,0.0,2.0
4221,abtruyent,abituriyent,abituriyent,0.0,3.0
31029,zərflik,zərflik,zərflik,0.0,0.0
5660,Meqsedi,məqsədi,məqsədi,0.0,3.0
19673,Pravada,prava da,Pravada,2.0,2.0
22605,biliriem,bilirəm,biliriem,2.0,2.0
14858,şəkile,şəkilə,şəkilə,0.0,1.0
17889,olculuye,ölçülüyə,olculuye,5.0,5.0
20998,cixanlar,çıxanlar,çıxanlar,0.0,2.0
6228,baxışın,baxışın,baxışın,0.0,0.0
36689,dəqiq,dəqiq,dəqiq,0.0,0.0
6445,Burada,burada,burada,0.0,1.0
42264,Mustafadı,Mustafadır,Mustafadı,1.0,1.0
