id,text,label
21000,dördrəqəmli,dördrəqəmli
21002,danışaram,danışaram
21003,şalvar,şalvar
21004,siyahıdan,siyahıdan
21005,deyirler,deyirlər
21006,desə,desə
21007,oxuyarkən,oxuyarkən
21008,böyümüşük,böyümüşük
21009,Bacısının,bacısının
21010,davranmağini,davranmağını
21011,hallar,hallar
21013,Bakda,Bakıda
21014,varlıqdı,varlıqdır
21015,qoyursunuz,qoyursunuz
21016,tersine,tərsinə
21017,itirilmiş,itirilmiş
21018,qatığa,qatığa
21019,ən,ən
21020,Hərçənd,hərçənd
21021,edr,edir
21023,tapdın,tapdın
21024,neyse,nəysə
21026,İstəyirəm,istəyirəm
21027,Dələduzluq,dələduzluq
21029,fikirlərinizə,fikirlərinizə
21031,keçmişdi,keçmişdir
21033,BELƏ,belə
21034,doluyur,doluyur
21036,razılaşdı,razılaşdı
21038,sütunu,sütunu
21039,İmislidendir,İmişlidəndir
21041,LAZIMDIR,lazımdır
21042,durduğunu,durduğunu
21043,imiş,imiş
21044,tarixin,tarixin
21047,İngilis,İngilis
21048,vizam,vizam
21049,qadinlar,qadınlar
21051,Quliyev,Quliyev
21053,Africa,Afrika
21054,verilir,verilir
21056,mubahise,mübahisə
21057,istemir,istəmir
21058,yere,yerə
21060,əlaqələdi,əlaqəlidir
21062,etmir,etmir
21064,Fikrimcə,fikrimcə
21065,Mütləqdir,mütləqdir
21067,umudlerini,ümidlərini
21069,ölkə,ölkə
21071,ehtiyyat,ehtiyyat
21073,gəlinlərdə,gəlinlərdə
21074,çıxırki,çıxır ki
21075,köçdük,köçdük
21076,Evvelceden,əvvəlcədən
21079,barışdırmaq,barışdırmaq
21080,ureyimde,ürəyimdə
21082,mənaslnda,mənasında
21083,Əşyaları,əşyaları
21084,içine,içinə
21085,versiyasından,versiyasından
21087,keçirmək,keçirmək
21089,ağir,ağır
21090,sürücüyə,sürücüyə
21091,çekirem,çəkirəm
21092,açıldığına,açıldığına
21094,evliyik,evliyik
